sequence,position,username,responded_on,value
depends_loc_adjusted,23,chipmunk,2024-07-05 13:10:51.485318,U
depends_loc_adjusted,24,chipmunk,2024-07-05 13:12:05.304347,B
depends_loc_adjusted,25,chipmunk,2024-07-05 13:12:24.056804,B
depends_loc_adjusted,26,chipmunk,2024-07-05 13:37:38.922221,A
depends_loc_adjusted,27,chipmunk,2024-07-05 13:38:01.486647,U
depends_loc_adjusted,28,chipmunk,2024-07-05 13:40:00.515837,U
depends_loc_adjusted,29,chipmunk,2024-07-05 13:42:22.326111,B
depends_loc_adjusted,30,chipmunk,2024-07-05 13:45:12.033807,B
depends_loc_adjusted,31,chipmunk,2024-07-05 13:46:02.254963,U
depends_loc_adjusted,32,chipmunk,2024-07-05 13:46:12.391573,A
depends_loc_adjusted,33,chipmunk,2024-07-05 13:46:33.690741,B
depends_loc_adjusted,34,chipmunk,2024-07-05 13:47:14.179274,A
depends_loc_adjusted,35,chipmunk,2024-07-05 13:47:30.282875,U
depends_loc_adjusted,36,chipmunk,2024-07-05 13:47:44.749302,A
depends_loc_adjusted,37,chipmunk,2024-07-05 13:48:18.040202,B
depends_loc_adjusted,38,chipmunk,2024-07-05 13:50:27.616781,B
depends_loc_adjusted,39,chipmunk,2024-07-05 13:51:27.529830,B
depends_loc_adjusted,40,chipmunk,2024-07-05 13:52:00.351160,A
depends_loc_adjusted,41,chipmunk,2024-07-05 13:52:57.087790,B
depends_loc_adjusted,42,chipmunk,2024-07-05 13:53:22.413359,B
depends_loc_adjusted,43,chipmunk,2024-07-05 13:54:17.402290,B
depends_loc_adjusted,44,chipmunk,2024-07-05 13:54:58.316354,A
depends_loc_adjusted,45,chipmunk,2024-07-05 13:55:13.381867,B
depends_loc_adjusted,46,chipmunk,2024-07-05 13:55:34.631515,A
depends_loc_adjusted,47,chipmunk,2024-07-05 13:55:46.258009,B
depends_loc_adjusted,48,chipmunk,2024-07-05 13:56:10.263158,A
depends_loc_adjusted,49,chipmunk,2024-07-05 13:57:47.855377,U
depends_loc_adjusted,50,chipmunk,2024-07-05 13:58:04.431463,B
depends_loc_adjusted,51,chipmunk,2024-07-05 13:59:19.689045,B
survey,0,admin,2024-07-01 06:57:18.625012,U
survey,0,chipmunk,2024-07-01 20:13:48.770866,A
survey,0,jackal,2024-07-01 13:32:42.532483,U
survey,0,wildcat,2024-07-01 17:56:07.917344,B
survey,0,moose,2024-07-03 02:52:28.611093,A
survey,0,hedgehog,2024-07-09 04:48:38.026305,A
survey,1,admin,2024-07-01 06:57:34.364481,B
survey,1,chipmunk,2024-07-01 20:14:07.388965,B
survey,1,jackal,2024-07-01 13:33:23.027716,B
survey,1,wildcat,2024-07-01 17:56:59.240249,B
survey,1,moose,2024-07-03 02:52:37.529036,B
survey,1,hedgehog,2024-07-09 04:48:55.766580,A
survey,2,admin,2024-07-01 06:57:43.673884,A
survey,2,chipmunk,2024-07-01 20:14:27.800727,A
survey,2,jackal,2024-07-01 13:33:44.693989,A
survey,2,wildcat,2024-07-01 17:58:20.008104,A
survey,2,moose,2024-07-03 02:52:58.032461,A
survey,2,hedgehog,2024-07-09 04:49:15.287947,A
survey,3,admin,2024-07-01 06:58:05.815425,A
survey,3,chipmunk,2024-07-01 20:14:45.567097,A
survey,3,jackal,2024-07-01 13:35:21.715275,A
survey,3,wildcat,2024-07-01 17:59:05.111992,A
survey,3,moose,2024-07-03 02:53:38.036277,A
survey,3,hedgehog,2024-07-09 04:49:37.484999,A
survey,4,admin,2024-07-01 06:58:12.136339,B
survey,4,chipmunk,2024-07-01 20:14:53.680537,B
survey,4,jackal,2024-07-01 13:35:35.858150,B
survey,4,wildcat,2024-07-01 22:15:24.528778,U
survey,4,moose,2024-07-03 02:53:58.770456,B
survey,4,hedgehog,2024-07-09 04:51:08.149107,B
survey,5,admin,2024-07-01 07:15:23.050960,U
survey,5,chipmunk,2024-07-01 20:34:19.318473,B
survey,5,jackal,2024-07-01 13:36:10.257794,U
survey,5,wildcat,2024-07-01 22:16:47.094109,A
survey,5,moose,2024-07-03 02:54:52.685667,B
survey,5,hedgehog,2024-07-09 04:54:57.191523,A
survey,6,admin,2024-07-01 07:15:33.878586,B
survey,6,chipmunk,2024-07-01 20:34:29.508643,B
survey,6,jackal,2024-07-01 13:36:38.110936,B
survey,6,wildcat,2024-07-01 22:17:24.948702,B
survey,6,hedgehog,2024-07-09 04:56:11.126876,B
survey,7,admin,2024-07-01 07:15:45.207304,A
survey,7,chipmunk,2024-07-01 20:34:43.915540,U
survey,7,jackal,2024-07-01 13:36:50.677268,U
survey,7,wildcat,2024-07-01 22:19:44.715459,B
survey,7,hedgehog,2024-07-09 04:57:04.789906,U
survey,8,admin,2024-07-01 15:46:02.119015,U
survey,8,chipmunk,2024-07-01 20:35:25.736801,A
survey,8,jackal,2024-07-01 13:37:22.143337,A
survey,8,wildcat,2024-07-01 22:21:09.624376,U
survey,8,hedgehog,2024-07-09 04:58:20.849969,B
survey,9,admin,2024-07-01 16:05:38.731408,U
survey,9,chipmunk,2024-07-01 20:36:51.931866,B
survey,9,jackal,2024-07-01 13:37:35.081247,U
survey,9,wildcat,2024-07-01 22:21:55.003655,U
survey,9,hedgehog,2024-07-09 05:00:48.203546,B
survey,10,admin,2024-07-01 16:07:02.625699,B
survey,10,chipmunk,2024-07-01 20:37:25.293738,B
survey,10,jackal,2024-07-01 13:39:32.911887,U
survey,10,wildcat,2024-07-01 22:23:01.398976,B
survey,10,hedgehog,2024-07-09 05:01:18.353426,B
survey,11,admin,2024-07-01 16:34:58.642748,B
survey,11,chipmunk,2024-07-01 20:37:41.915095,B
survey,11,jackal,2024-07-01 13:39:53.343109,B
survey,11,wildcat,2024-07-01 22:27:32.314338,B
survey,11,hedgehog,2024-07-09 05:02:45.031921,A
survey,12,admin,2024-07-02 01:17:39.832258,U
survey,12,chipmunk,2024-07-01 20:38:09.288091,B
survey,12,jackal,2024-07-01 13:40:37.141416,U
survey,12,wildcat,2024-07-01 22:28:53.270952,B
survey,12,hedgehog,2024-07-09 05:03:43.888134,A
survey,13,admin,2024-07-12 18:15:19.149281,U
survey,13,chipmunk,2024-07-01 20:38:32.742246,U
survey,13,jackal,2024-07-01 13:41:26.433796,A
survey,13,wildcat,2024-07-01 22:30:10.454198,A
survey,13,hedgehog,2024-07-09 05:03:55.501507,A
survey,14,chipmunk,2024-07-01 20:39:20.467471,A
survey,14,jackal,2024-07-01 13:42:19.700525,A
survey,14,wildcat,2024-07-01 22:31:31.523954,A
survey,14,hedgehog,2024-07-09 05:07:39.925283,U
survey,15,chipmunk,2024-07-01 20:41:13.903184,B
survey,15,jackal,2024-07-01 13:42:45.527781,B
survey,15,wildcat,2024-07-01 22:32:06.469015,B
survey,15,hedgehog,2024-07-09 05:07:53.332729,B
survey,16,chipmunk,2024-07-01 20:41:31.380470,A
survey,16,jackal,2024-07-01 13:44:52.074703,B
survey,16,wildcat,2024-07-01 22:32:48.010297,U
survey,16,hedgehog,2024-07-09 05:08:20.804913,A
survey,17,chipmunk,2024-07-01 20:43:36.178284,B
survey,17,jackal,2024-07-01 13:45:35.371535,A
survey,17,wildcat,2024-07-01 22:34:51.688893,B
survey,17,hedgehog,2024-07-09 05:09:38.136647,B
survey,18,chipmunk,2024-07-01 20:44:05.904007,U
survey,18,jackal,2024-07-01 13:46:04.992461,B
survey,18,wildcat,2024-07-01 22:35:34.146644,A
survey,18,hedgehog,2024-07-09 05:10:41.517825,A
survey,19,chipmunk,2024-07-01 20:44:25.980704,A
survey,19,jackal,2024-07-01 13:46:18.181057,U
survey,19,wildcat,2024-07-01 22:37:10.891499,B
survey,19,hedgehog,2024-07-09 07:24:54.880229,B
survey,20,chipmunk,2024-07-01 21:29:59.075101,B
survey,20,jackal,2024-07-01 13:46:45.552212,A
survey,20,wildcat,2024-07-01 22:37:59.093854,A
survey,20,hedgehog,2024-07-09 07:26:07.505995,A
survey,21,chipmunk,2024-07-01 21:30:27.356698,A
survey,21,jackal,2024-07-01 13:47:01.992746,A
survey,21,wildcat,2024-07-01 22:38:55.428793,A
survey,21,hedgehog,2024-07-09 07:26:18.151517,A
survey,22,chipmunk,2024-07-01 21:30:38.887401,U
survey,22,jackal,2024-07-01 13:47:23.897474,U
survey,22,wildcat,2024-07-01 22:40:09.784710,A
survey,22,hedgehog,2024-07-09 07:27:24.091447,A
survey,23,chipmunk,2024-07-01 21:30:54.712681,A
survey,23,jackal,2024-07-01 13:47:34.667608,A
survey,23,wildcat,2024-07-01 22:40:31.328654,A
survey,23,hedgehog,2024-07-09 07:28:31.409464,B
survey,24,chipmunk,2024-07-01 21:31:08.438241,B
survey,24,jackal,2024-07-01 13:47:59.327490,A
survey,24,wildcat,2024-07-01 22:49:16.764016,U
survey,24,hedgehog,2024-07-09 07:28:37.894509,A
survey,25,chipmunk,2024-07-01 21:35:07.109774,B
survey,25,jackal,2024-07-01 13:48:25.557921,U
survey,25,wildcat,2024-07-01 22:49:39.418814,B
survey,25,hedgehog,2024-07-09 07:29:50.479709,A
survey,26,chipmunk,2024-07-01 21:35:40.600990,B
survey,26,jackal,2024-07-01 13:48:57.059582,B
survey,26,wildcat,2024-07-01 22:50:52.071619,U
survey,26,hedgehog,2024-07-12 18:50:28.962932,B
survey,27,chipmunk,2024-07-01 21:36:10.465415,B
survey,27,jackal,2024-07-01 13:49:29.259839,U
survey,27,wildcat,2024-07-01 22:51:42.853697,B
survey,28,chipmunk,2024-07-01 21:36:22.317199,B
survey,28,jackal,2024-07-01 13:50:01.625480,U
survey,28,wildcat,2024-07-01 22:52:16.624023,U
survey,29,chipmunk,2024-07-01 21:36:30.840387,A
survey,29,jackal,2024-07-01 13:50:24.117239,A
survey,29,wildcat,2024-07-01 22:52:30.758708,A
survey,30,chipmunk,2024-07-01 21:36:52.946657,A
survey,30,jackal,2024-07-01 14:58:45.974466,A
survey,30,wildcat,2024-07-01 22:53:15.141994,A
survey,31,chipmunk,2024-07-01 21:37:53.202466,A
survey,31,jackal,2024-07-01 14:59:05.264630,U
survey,31,wildcat,2024-07-01 23:00:33.813265,A
survey,32,chipmunk,2024-07-01 21:38:01.433815,U
survey,32,jackal,2024-07-01 14:59:34.845387,A
survey,32,wildcat,2024-07-01 23:01:19.903928,A
survey,33,chipmunk,2024-07-01 21:38:13.822871,A
survey,33,jackal,2024-07-01 17:15:23.000095,A
survey,33,wildcat,2024-07-01 23:02:47.053685,A
survey,34,chipmunk,2024-07-01 21:38:28.636083,U
survey,34,jackal,2024-07-01 17:26:23.013472,B
survey,34,wildcat,2024-07-01 23:03:20.552063,B
survey,35,chipmunk,2024-07-01 21:38:42.880294,B
survey,35,jackal,2024-07-01 17:26:41.253562,B
survey,35,wildcat,2024-07-01 23:04:37.548878,B
survey,36,chipmunk,2024-07-01 21:39:12.128487,A
survey,36,jackal,2024-07-01 17:27:36.990963,U
survey,36,wildcat,2024-07-01 23:05:34.307368,U
survey,37,chipmunk,2024-07-01 21:39:39.144492,B
survey,37,jackal,2024-07-01 17:27:52.772692,B
survey,37,wildcat,2024-07-01 23:06:26.130211,B
survey,38,chipmunk,2024-07-01 21:40:05.054967,B
survey,38,jackal,2024-07-01 17:28:42.341768,B
survey,38,wildcat,2024-07-01 23:44:23.044332,U
survey,39,chipmunk,2024-07-01 21:40:17.006928,U
survey,39,jackal,2024-07-01 17:29:24.671389,U
survey,39,wildcat,2024-07-01 23:44:47.902474,B
survey,40,chipmunk,2024-07-01 21:40:31.863447,B
survey,40,jackal,2024-07-01 17:29:51.623148,U
survey,40,wildcat,2024-07-01 23:45:13.748224,B
survey,41,chipmunk,2024-07-01 21:40:41.908422,B
survey,41,jackal,2024-07-01 20:22:21.154904,B
survey,41,wildcat,2024-07-01 23:45:33.889564,B
survey,42,chipmunk,2024-07-01 21:45:19.133509,A
survey,42,jackal,2024-07-01 20:22:42.305941,A
survey,42,wildcat,2024-07-01 23:45:56.332750,A
survey,43,chipmunk,2024-07-01 21:45:27.555140,B
survey,43,jackal,2024-07-01 20:22:58.079286,U
survey,43,wildcat,2024-07-01 23:46:21.206759,U
survey,44,chipmunk,2024-07-01 21:45:34.475920,B
survey,44,jackal,2024-07-01 20:23:43.855770,U
survey,44,wildcat,2024-07-01 23:46:40.793712,A
survey,45,chipmunk,2024-07-01 21:45:50.344223,B
survey,45,jackal,2024-07-01 20:24:22.740155,B
survey,45,wildcat,2024-07-01 23:47:20.733955,U
survey,46,chipmunk,2024-07-01 21:46:14.762547,A
survey,46,jackal,2024-07-01 20:24:49.180485,A
survey,46,wildcat,2024-07-01 23:47:34.432948,A
survey,47,chipmunk,2024-07-01 21:46:30.371805,A
survey,47,jackal,2024-07-01 20:25:36.448653,U
survey,47,wildcat,2024-07-01 23:48:09.842358,A
survey,48,chipmunk,2024-07-01 21:46:35.023590,B
survey,48,jackal,2024-07-01 20:26:09.318107,U
survey,48,wildcat,2024-07-01 23:48:45.102652,U
survey,49,chipmunk,2024-07-01 21:46:55.661063,U
survey,49,jackal,2024-07-01 20:27:33.945105,A
survey,49,wildcat,2024-07-01 23:50:04.859239,U
survey,50,chipmunk,2024-07-01 21:47:16.306411,U
survey,50,jackal,2024-07-01 20:28:55.797424,A
survey,50,wildcat,2024-07-01 23:50:42.199985,A
survey_loc_adjusted,0,admin,2024-07-04 02:21:36.002354,U
survey_loc_adjusted,0,chipmunk,2024-07-05 14:07:49.007593,A
survey_loc_adjusted,0,jackal,2024-07-08 19:42:50.979270,U
survey_loc_adjusted,0,wildcat,2024-07-05 19:17:23.975440,U
survey_loc_adjusted,0,hedgehog,2024-07-12 19:23:45.380039,B
survey_loc_adjusted,1,admin,2024-07-04 02:21:37.962030,U
survey_loc_adjusted,1,chipmunk,2024-07-05 14:08:11.097644,A
survey_loc_adjusted,1,jackal,2024-07-08 19:43:13.497277,U
survey_loc_adjusted,1,wildcat,2024-07-05 19:18:08.535449,U
survey_loc_adjusted,1,hedgehog,2024-07-12 19:27:58.983665,A
survey_loc_adjusted,2,admin,2024-07-04 02:21:39.992214,U
survey_loc_adjusted,2,chipmunk,2024-07-05 14:09:27.217513,A
survey_loc_adjusted,2,jackal,2024-07-08 19:43:51.209025,B
survey_loc_adjusted,2,wildcat,2024-07-05 19:19:09.994924,U
survey_loc_adjusted,3,admin,2024-07-04 02:22:00.926449,U
survey_loc_adjusted,3,chipmunk,2024-07-05 14:09:37.814709,U
survey_loc_adjusted,3,jackal,2024-07-08 19:44:00.606973,U
survey_loc_adjusted,3,wildcat,2024-07-05 19:19:50.163681,A
survey_loc_adjusted,4,admin,2024-07-04 02:22:02.880136,U
survey_loc_adjusted,4,chipmunk,2024-07-05 14:10:36.527262,A
survey_loc_adjusted,4,jackal,2024-07-08 19:45:14.484107,U
survey_loc_adjusted,4,wildcat,2024-07-05 19:26:48.229279,B
survey_loc_adjusted,5,admin,2024-07-04 02:22:04.760049,U
survey_loc_adjusted,5,chipmunk,2024-07-05 14:11:47.045928,B
survey_loc_adjusted,5,jackal,2024-07-08 19:46:08.244769,U
survey_loc_adjusted,5,wildcat,2024-07-05 19:28:21.020130,U
survey_loc_adjusted,6,admin,2024-07-04 02:22:06.725869,U
survey_loc_adjusted,6,chipmunk,2024-07-05 14:13:37.740764,A
survey_loc_adjusted,6,jackal,2024-07-08 20:06:38.504647,A
survey_loc_adjusted,6,wildcat,2024-07-05 19:29:51.522671,A
survey_loc_adjusted,7,admin,2024-07-04 02:22:09.080884,U
survey_loc_adjusted,7,chipmunk,2024-07-05 14:14:46.403063,A
survey_loc_adjusted,7,jackal,2024-07-08 20:07:23.460621,A
survey_loc_adjusted,7,wildcat,2024-07-05 19:32:21.854542,A
survey_loc_adjusted,8,admin,2024-07-04 03:20:20.680738,U
survey_loc_adjusted,8,chipmunk,2024-07-05 14:15:46.730366,U
survey_loc_adjusted,8,jackal,2024-07-08 20:07:54.809073,U
survey_loc_adjusted,8,wildcat,2024-07-05 19:33:16.046054,A
survey_loc_adjusted,9,admin,2024-07-04 03:20:23.698365,U
survey_loc_adjusted,9,chipmunk,2024-07-05 14:17:41.839237,B
survey_loc_adjusted,9,jackal,2024-07-08 20:08:37.492699,B
survey_loc_adjusted,9,wildcat,2024-07-05 19:34:09.908902,A
survey_loc_adjusted,10,admin,2024-07-04 03:20:36.147799,U
survey_loc_adjusted,10,chipmunk,2024-07-05 14:18:44.220284,A
survey_loc_adjusted,10,jackal,2024-07-08 20:09:15.593638,A
survey_loc_adjusted,10,wildcat,2024-07-05 19:35:42.748377,A
survey_loc_adjusted,11,admin,2024-07-04 03:20:39.995125,U
survey_loc_adjusted,11,chipmunk,2024-07-05 14:19:40.267332,A
survey_loc_adjusted,11,jackal,2024-07-08 20:10:20.806880,B
survey_loc_adjusted,11,wildcat,2024-07-05 19:39:43.833084,A
survey_loc_adjusted,12,admin,2024-07-04 03:50:55.905947,A
survey_loc_adjusted,12,chipmunk,2024-07-05 14:31:19.651831,U
survey_loc_adjusted,12,jackal,2024-07-08 20:21:31.621457,U
survey_loc_adjusted,12,wildcat,2024-07-05 19:41:30.359467,U
survey_loc_adjusted,13,admin,2024-07-04 03:50:58.885428,A
survey_loc_adjusted,13,chipmunk,2024-07-05 14:31:39.864829,U
survey_loc_adjusted,13,jackal,2024-07-08 20:21:44.330520,U
survey_loc_adjusted,13,wildcat,2024-07-05 19:41:49.575345,U
survey_loc_adjusted,14,admin,2024-07-04 03:51:01.461212,B
survey_loc_adjusted,14,chipmunk,2024-07-05 14:32:20.920812,U
survey_loc_adjusted,14,jackal,2024-07-08 20:22:20.044673,A
survey_loc_adjusted,14,wildcat,2024-07-05 19:42:47.279758,U
survey_loc_adjusted,15,admin,2024-07-04 03:51:04.410529,B
survey_loc_adjusted,15,chipmunk,2024-07-05 14:32:35.192703,A
survey_loc_adjusted,15,jackal,2024-07-08 20:22:37.375133,U
survey_loc_adjusted,15,wildcat,2024-07-05 19:43:03.763084,A
survey_loc_adjusted,16,admin,2024-07-04 03:51:08.809733,A
survey_loc_adjusted,16,chipmunk,2024-07-05 14:33:54.214123,A
survey_loc_adjusted,16,jackal,2024-07-08 20:23:13.840066,A
survey_loc_adjusted,16,wildcat,2024-07-05 19:56:09.696742,A
survey_loc_adjusted,17,admin,2024-07-04 03:51:13.267684,A
survey_loc_adjusted,17,chipmunk,2024-07-05 14:34:27.441244,B
survey_loc_adjusted,17,jackal,2024-07-08 20:23:41.907007,U
survey_loc_adjusted,17,wildcat,2024-07-05 19:57:51.690943,U
survey_loc_adjusted,18,admin,2024-07-04 04:02:44.312450,U
survey_loc_adjusted,18,chipmunk,2024-07-05 14:35:35.814131,B
survey_loc_adjusted,18,jackal,2024-07-08 20:24:17.620756,A
survey_loc_adjusted,18,wildcat,2024-07-05 20:07:17.487457,A
survey_loc_adjusted,19,admin,2024-07-12 18:14:57.077669,U
survey_loc_adjusted,19,chipmunk,2024-07-05 14:36:05.916012,U
survey_loc_adjusted,19,jackal,2024-07-08 20:24:53.147274,U
survey_loc_adjusted,19,wildcat,2024-07-05 20:08:12.298950,A
survey_loc_adjusted,20,admin,2024-07-12 18:15:00.452582,U
survey_loc_adjusted,20,chipmunk,2024-07-05 14:37:14.968663,U
survey_loc_adjusted,20,jackal,2024-07-08 20:25:53.129222,A
survey_loc_adjusted,20,wildcat,2024-07-05 20:08:59.423149,A
survey_loc_adjusted,21,admin,2024-07-12 18:15:02.292586,U
survey_loc_adjusted,21,chipmunk,2024-07-05 14:37:23.839656,B
survey_loc_adjusted,21,jackal,2024-07-08 20:26:06.768742,U
survey_loc_adjusted,21,wildcat,2024-07-05 20:09:50.947147,U
survey_loc_adjusted,22,admin,2024-07-12 18:18:16.672584,U
survey_loc_adjusted,22,chipmunk,2024-07-05 14:37:49.240848,B
survey_loc_adjusted,22,jackal,2024-07-08 20:27:15.536130,U
survey_loc_adjusted,22,wildcat,2024-07-05 20:10:50.063120,B
survey_loc_adjusted,23,chipmunk,2024-07-05 14:39:03.712653,B
survey_loc_adjusted,23,jackal,2024-07-08 20:27:54.714451,B
survey_loc_adjusted,23,wildcat,2024-07-05 20:12:48.653015,A
survey_loc_adjusted,24,chipmunk,2024-07-05 14:40:33.465668,A
survey_loc_adjusted,24,jackal,2024-07-08 20:28:27.383211,B
survey_loc_adjusted,24,wildcat,2024-07-05 20:13:44.345328,B
survey_loc_adjusted,25,chipmunk,2024-07-05 14:40:59.274774,B
survey_loc_adjusted,25,jackal,2024-07-08 20:28:42.396871,U
survey_loc_adjusted,25,wildcat,2024-07-05 20:14:32.624947,B
survey_loc_adjusted,26,chipmunk,2024-07-05 14:44:38.383562,B
survey_loc_adjusted,26,jackal,2024-07-08 20:29:35.784811,U
survey_loc_adjusted,26,wildcat,2024-07-05 20:15:06.737070,B
survey_loc_adjusted,27,chipmunk,2024-07-05 14:45:09.653264,B
survey_loc_adjusted,27,jackal,2024-07-08 20:29:57.667729,U
survey_loc_adjusted,27,wildcat,2024-07-05 20:15:52.037432,B
survey_loc_adjusted,28,chipmunk,2024-07-05 14:46:20.225643,A
survey_loc_adjusted,28,jackal,2024-07-08 20:32:03.544445,B
survey_loc_adjusted,28,wildcat,2024-07-05 20:18:22.323530,U
survey_loc_adjusted,29,chipmunk,2024-07-05 14:47:05.580889,U
survey_loc_adjusted,29,jackal,2024-07-08 20:32:59.284591,U
survey_loc_adjusted,29,wildcat,2024-07-05 20:20:06.210340,A
survey_loc_adjusted,30,chipmunk,2024-07-05 14:48:18.506454,A
survey_loc_adjusted,30,jackal,2024-07-08 20:34:50.600920,U
survey_loc_adjusted,30,wildcat,2024-07-05 20:22:10.968623,A
survey_loc_adjusted,31,chipmunk,2024-07-05 14:48:56.583647,A
survey_loc_adjusted,31,jackal,2024-07-08 20:35:03.997307,B
survey_loc_adjusted,31,wildcat,2024-07-05 20:22:41.168715,A
survey_loc_adjusted,32,chipmunk,2024-07-05 14:50:53.155996,A
survey_loc_adjusted,32,jackal,2024-07-08 20:35:52.896057,B
survey_loc_adjusted,32,wildcat,2024-07-05 20:24:38.122595,A
survey_loc_adjusted,33,chipmunk,2024-07-05 14:52:46.672307,A
survey_loc_adjusted,33,jackal,2024-07-08 20:36:29.440307,A
survey_loc_adjusted,33,wildcat,2024-07-05 20:25:57.125627,A
survey_loc_adjusted,34,chipmunk,2024-07-05 14:53:13.719259,A
survey_loc_adjusted,34,jackal,2024-07-08 20:36:45.159919,U
survey_loc_adjusted,34,wildcat,2024-07-05 20:26:36.195058,A
survey_loc_adjusted,35,chipmunk,2024-07-05 15:09:47.193872,B
survey_loc_adjusted,35,jackal,2024-07-08 20:41:34.632725,U
survey_loc_adjusted,35,wildcat,2024-07-05 20:36:06.418021,U
survey_loc_adjusted,36,chipmunk,2024-07-05 15:10:28.975779,A
survey_loc_adjusted,36,jackal,2024-07-08 20:42:09.235680,U
survey_loc_adjusted,36,wildcat,2024-07-05 20:38:04.441410,U
survey_loc_adjusted,37,chipmunk,2024-07-05 15:10:44.226398,B
survey_loc_adjusted,37,jackal,2024-07-08 20:43:29.136719,U
survey_loc_adjusted,37,wildcat,2024-07-05 20:38:36.433009,A
survey_loc_adjusted,38,chipmunk,2024-07-05 15:11:17.172309,B
survey_loc_adjusted,38,jackal,2024-07-08 20:43:42.143222,A
survey_loc_adjusted,38,wildcat,2024-07-05 20:39:18.172931,U
survey_loc_adjusted,39,chipmunk,2024-07-05 15:11:41.309465,A
survey_loc_adjusted,39,jackal,2024-07-08 20:43:57.457871,A
survey_loc_adjusted,39,wildcat,2024-07-05 20:39:57.005355,A
survey_loc_adjusted,40,chipmunk,2024-07-05 15:12:19.214306,A
survey_loc_adjusted,40,jackal,2024-07-08 20:44:47.299848,A
survey_loc_adjusted,40,wildcat,2024-07-05 20:46:49.454721,U
survey_loc_adjusted,41,chipmunk,2024-07-05 15:12:39.382209,B
survey_loc_adjusted,41,jackal,2024-07-08 20:45:12.197201,A
survey_loc_adjusted,41,wildcat,2024-07-05 20:47:56.607350,U
survey_loc_adjusted,42,chipmunk,2024-07-05 15:13:02.444689,A
survey_loc_adjusted,42,jackal,2024-07-08 20:45:45.412051,B
survey_loc_adjusted,42,wildcat,2024-07-05 20:49:00.519005,A
survey_loc_adjusted,43,chipmunk,2024-07-05 15:13:35.304884,U
survey_loc_adjusted,43,jackal,2024-07-08 20:45:55.321532,U
survey_loc_adjusted,43,wildcat,2024-07-05 20:49:20.654711,B
survey_loc_adjusted,44,chipmunk,2024-07-05 15:13:48.342155,A
survey_loc_adjusted,44,jackal,2024-07-08 20:46:57.122706,A
survey_loc_adjusted,44,wildcat,2024-07-05 20:50:13.450912,U
survey_loc_adjusted,45,chipmunk,2024-07-05 15:14:15.644754,A
survey_loc_adjusted,45,jackal,2024-07-08 20:47:29.629477,U
survey_loc_adjusted,45,wildcat,2024-07-05 20:51:10.645813,B
